Time Period Start,Time Period End,Time Open,Time Close,Price Open,Price High,Price Low,Price Close,Volume Traded,Trades Count
2017-11-20T00:00:00.0000000Z,2017-11-27T00:00:00.0000000Z,2017-11-20T00:00:00.0560000Z,2017-11-26T23:59:59.9950000Z,71.7,89.88,67,86.62,5312539.371,1186523
2017-11-13T00:00:00.0000000Z,2017-11-20T00:00:00.0000000Z,2017-11-13T00:00:02.1340000Z,2017-11-19T23:59:59.9780000Z,58.82,74.7,57.71,71.7,4395709.578,956839
2017-11-06T00:00:00.0000000Z,2017-11-13T00:00:00.0000000Z,2017-11-06T00:00:00.0560000Z,2017-11-12T23:59:57.8170000Z,54.67,67.24,53.06,58.81,5491606.935,1044419
2017-10-30T00:00:00.0000000Z,2017-11-06T00:00:00.0000000Z,2017-10-30T00:00:02.1580000Z,2017-11-05T23:59:59.9790000Z,56.59,58.42,49.52,54.67,2141359.129,798998
2017-10-23T00:00:00.0000000Z,2017-10-30T00:00:00.0000000Z,2017-10-23T00:00:02.5530000Z,2017-10-29T23:59:59.2310000Z,56.75,59.9,52,56.59,2180576.961,664603
2017-10-16T00:00:00.0000000Z,2017-10-23T00:00:00.0000000Z,2017-10-16T00:00:01.8470000Z,2017-10-22T23:59:54.7240000Z,65.52,66.4,52.9,56.75,3285294.299,602468
2017-10-09T00:00:00.0000000Z,2017-10-16T00:00:00.0000000Z,2017-10-09T00:00:02.3390000Z,2017-10-15T23:59:51.0020000Z,53.27,69.62,48,65.51,4777799.786,517316
2017-10-02T00:00:00.0000000Z,2017-10-09T00:00:00.0000000Z,2017-10-02T00:00:02.4690000Z,2017-10-08T23:59:56.7050000Z,54.7,55.22,50,53.27,1620144.722,226688
2017-09-25T00:00:00.0000000Z,2017-10-02T00:00:00.0000000Z,2017-09-25T00:00:02.1450000Z,2017-10-01T23:59:59.2870000Z,47.71,57.97,47.31,54.69,3546771.419,335708
2017-09-18T00:00:00.0000000Z,2017-09-25T00:00:00.0000000Z,2017-09-18T00:00:02.1430000Z,2017-09-24T23:59:51.7200000Z,51.37,58.48,44.69,47.7,4805050.616,387057
