Exchange Id,Website,Name,Data Start,Data End,Data Quote Start,Data Quote End,Data Symbols Count,Volume 1hrs Usd,Volume 1day Usd,Volume 1mth Usd,Data Orderbook Start,Data Orderbook End,Data Trade Start,Data Trade End
COINTIGER,https://www.cointiger.com/,CoinTiger,2018-11-20,2020-07-28,2018-11-20T15:24:51.7878874Z,2020-07-28T15:11:31.8052057Z,343,0,0,0,2018-11-20T15:24:51.7878874Z,2020-07-28T15:11:31.8052057Z,2018-11-20T15:24:51.0020000Z,2020-07-28T15:12:34.0000000Z
DDEX,https://ddex.io/,DDEX,2019-01-22,2021-04-08,2019-01-22T20:19:06.9087747Z,2021-04-08T02:27:27.9181011Z,415,0,0,0,2019-01-22T20:19:06.9087747Z,2020-08-05T14:37:46.3814907Z,2020-05-05T13:18:46.0000000Z,2021-04-05T06:10:34.0000000Z
VINDAX,https://vindax.com/,VinDAX,2019-08-05,2021-05-20,2019-10-14T22:47:16.7528901Z,2021-05-20T17:41:17.5671044Z,1187,1583536.15,65115369.34,2866799348,2019-10-14T22:47:16.7528901Z,2020-08-05T14:27:20.9232176Z,2019-08-05T11:13:36.0000000Z,2021-05-20T17:30:04.0966667Z
POLONIEXFTS,https://poloniex.com/futures,Poloniex Futures,2021-02-18,2021-05-20,2021-02-18T15:52:43.4041116Z,2021-05-20T17:30:00.9400000Z,15,0,0,131985358981,2019-10-14T22:47:16.7528901Z,2020-08-05T14:27:20.9232176Z,2021-02-18T15:52:49.4640000Z,2021-05-20T17:30:04.0966667Z
MANDALA,https://www.mandala.exchange/,Mandala,2021-03-12,2021-05-20,2021-03-12T23:31:27.1769842Z,2021-05-20T17:42:55.5570000Z,1033,1463632110759,51418123586315,3.59164E+15,2019-10-14T22:47:16.7528901Z,2020-08-05T14:27:20.9232176Z,2021-03-12T23:31:26.1980000Z,2021-05-20T17:30:04.0966667Z
IDAX,https://www.idax.pro/,IDAX,2019-02-03,2020-05-29,2019-02-05T23:28:43.4514691Z,2020-05-29T22:56:36.7453273Z,432,0,0,0,2019-02-05T23:28:43.4514691Z,2020-05-29T22:56:36.7453273Z,2019-02-03T15:53:24.0000000Z,2019-04-17T15:03:49.5200000Z
BITEXLIVE,https://bitexlive.com/,BITEXLIVE,2020-05-16,2021-05-20,2020-05-16T07:45:06.0671899Z,2021-05-20T17:30:00.9400000Z,140,17427.27,59784.83,15136761.19,2020-05-16T07:45:06.0671899Z,2020-08-05T14:36:04.5929394Z,2020-05-16T07:46:49.0000000Z,2021-05-20T17:30:04.0966667Z
CATEX,https://www.catex.io/,Cat.Ex,2019-07-13,2021-05-20,2019-10-01T17:21:04.4309552Z,2021-05-20T17:42:54.5231800Z,356,0,0,418526174.7,2019-10-01T17:21:04.4309552Z,2020-08-05T14:37:29.3958869Z,2019-07-13T19:31:59.0000000Z,2021-05-20T17:30:04.0966667Z
SISTEMKOIN,https://sistemkoin.com/,Sistemkoin,2019-04-08,2021-04-14,2019-04-08T15:17:55.3330949Z,2021-04-14T14:25:52.8685566Z,735,0,0,0,2019-04-08T15:17:55.3330949Z,2020-08-05T14:38:33.4327540Z,2019-07-13T19:31:59.0000000Z,2021-05-20T17:30:04.0966667Z
BITEXLA,https://bitex.la/,Bitex.la,2019-04-08,2021-05-20,2019-04-08T15:29:16.9647231Z,2021-05-20T17:38:14.0638578Z,6,7859,1028600.22,18552605.23,2019-04-08T15:29:16.9647231Z,2020-08-05T14:37:07.8179075Z,2019-04-08T17:16:25.0000000Z,2021-05-20T17:30:04.0966667Z
HANBITCO,https://www.hanbitco.com/,Hanbitco,2019-10-01,2021-03-15,2019-10-01T17:24:58.8944166Z,2021-03-15T13:45:16.9568093Z,13,0,0,0,2019-10-01T17:24:58.8944166Z,2020-08-05T14:37:17.5726521Z,2019-04-08T17:16:25.0000000Z,2021-05-20T17:30:04.0966667Z
